Project_Name,Winner,Project_Link,Built_With
Moodify,True,https://devpost.com/software/moodify-wx9ebm,"cohere
css3
htm
python"
InterviewerReviewer,True,https://devpost.com/software/interviewerreviewer,"click
cohere
css3
flask
html5
javascript
postgresql
psycopg2
python
railway
react
recaptcha
shell
sqlalchemy
vercel
waitress"
Progno-D,True,https://devpost.com/software/progno-d,"git
github
javascript
jupyter
nltk
numpy
pandas
python
react"
Stockster,True,https://devpost.com/software/stockmarketdashboard,"alphavantage
axios
cohere
firebase
flask
google-cloud
material-ui
react
react-router-dom
recharts
requests
scikit-learn"
AiVN,True,https://devpost.com/software/aivn,"css
express.js
html
javascript"
AI Hangman,True,https://devpost.com/software/ai-hangman,"appdesigner
matlab"
Eye Controller,True,https://devpost.com/software/eye-controller,"dlib
opencv
python"
TrackMyFocus,False,https://devpost.com/software/trackmyfocus,"auth0
cockroachdb
css3
electron
godaddy
html5
react
typescript
vite
windicss"
www.thedomainisalie.tech,False,https://devpost.com/software/tbd-605q94,"amazon-web-services
cohere
css
domain.com
html
javascript
python"
CodeXeR,False,https://devpost.com/software/codexer,"dart
firebase
flutter
gpt-3"
Smart Desk,False,https://devpost.com/software/smart-desk,"cohere
expert-ai
python
sqlite
streamlit"
Tabs Timed Manager,False,https://devpost.com/software/tabs-timed-manager,"figma
python"
Saransh,False,https://devpost.com/software/saransh-iamfc4,"bot
gpt3
ml
python
telegram
text-summarizer"
Ventilaor_Pressure_Prediction,False,https://devpost.com/software/ai-hacks_submission,"flask
googlecolab
python"
Attentive,False,https://devpost.com/software/attentive-hen41w,"python
xml"
Emotion Detect,False,https://devpost.com/software/emotion-detect,"faceapi.js
react
react-router-dom
react-simple-chatbot
tailwindcss"
Hand Gesture Game Controller,False,https://devpost.com/software/hand-gesture-game-controller,"ctype
mediapipe
numpy
opencv
python
tensorflow"
Crypto Page,False,https://devpost.com/software/crypto-page,"css3
html5"
