Project_Name,Winner,Project_Link,Built_With
Car_Analyser,False,https://devpost.com/software/oddo_fellowship,"cufflink
django
kaggle
numpy
pandas
python
seaborn
streamlit"
Chat application with React-Firebase,False,https://devpost.com/software/chat-application-with-react-firebase,"bootstrap
firebase
react"
Car.Rent,False,https://devpost.com/software/car-rent,"cohere-ai
firebase
github
netlify
node.js
react-js"
Travellwithus,False,https://devpost.com/software/travellwithus,"lottiefiles
material-tailwind
react
tailwindcss
visual-studio-code"
ProsperityBank,False,https://devpost.com/software/prosperitybank,"css3
firebase
firebase-deployment
html5
javascript
react
tailwind-css
vite"
Caravan,False,https://devpost.com/software/caravan-g0s21n,"firebase
flutter"
Da-tree,False,https://devpost.com/software/da-tree,"next
react
tailwind
typescript
vercel"
Go Wheel-io,False,https://devpost.com/software/go-wheel-io,"api
cohere
css
html
javascript
node.js
twilio"
Co-Ride,False,https://devpost.com/software/co-ride,"figma
flutter
geocoding
google-maps
premirepro"
AutoScope,False,https://devpost.com/software/autoscope-k81nf6,"fastapi
pytorch
react
twilio"
AutoSick,False,https://devpost.com/software/autosick,"auth0
css
express.js
figma
mongodb
node.js
react
tailwind"
GreenMobt,False,https://devpost.com/software/greenmobt,"css
html
javascript
react
vuejs"
MotorMate,False,https://devpost.com/software/project-name-d93tip,"angular.js
firebase
leaflet.js
openstreetmap
react
tailwind
three.js"
Parkify,False,https://devpost.com/software/parkify-c1naib,"canva
css3
figma
github
godaddy
google-maps
html5
javascript
react.js"
Electrico,False,https://devpost.com/software/electrico,"css
html
javascript
json"
"""EcoRoute"": The Smart, Sustainable Transportation Companion",False,https://devpost.com/software/ecoroute-the-smart-sustainable-transportation-companion,"css3
django
geodjango
html5
python"
Automobile Parts Classifier,False,https://devpost.com/software/automobile-parts-classifier,"matplotlib
python
tensorflow"
Carcho.co,False,https://devpost.com/software/carcho-co,"authjs
github
headlessui
heroicons
next
nextauth
novu
planetscale
prisma
react
sendgrid
swr
tailwind
twilio
vercel"
rideShare,False,https://devpost.com/software/rideshare-gtj3kv,"firebase
react"
Hack-celerate hackathon project,False,https://devpost.com/software/hack-celerate-hackathon-project,node.js
The EV Game,False,https://devpost.com/software/the-ev-game,"css
html5
javascript"
Fallen Leaf,False,https://devpost.com/software/fallen-leaf-f28cqu,"css
django
html5"
